Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C11, C13, C16, C7",Capacitor_0402,5,100nF,C307331
"C12, C17",Capacitor_0402,2,4.7uF,C23733
C14,Capacitor_0402,1,10nF,C15195
"C15, C8, C9",Capacitor_0402,3,1uF,C52923
"D1, D10, D100, D101, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D84, D85, D86, D87, D88, D89, D9, D90, D91, D92, D93, D94, D95, D96, D97, D98, D99",Diode_DO-35,101,Diode,
"DISPLAYLED1, DISPLAYLED2, DISPLAYLED3, LED1, LED10, LED100, LED101, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED2, LED20, LED21, LED22, LED23, LED24, LED25, LED26, LED27, LED28, LED29, LED3, LED30, LED31, LED32, LED33, LED34, LED35, LED36, LED37, LED38, LED39, LED4, LED40, LED41, LED42, LED43, LED44, LED45, LED46, LED47, LED48, LED49, LED5, LED50, LED51, LED52, LED53, LED54, LED55, LED56, LED57, LED58, LED59, LED6, LED60, LED61, LED62, LED63, LED64, LED65, LED66, LED67, LED68, LED69, LED7, LED70, LED71, LED72, LED73, LED74, LED75, LED76, LED77, LED78, LED79, LED8, LED80, LED81, LED82, LED83, LED84, LED85, LED86, LED87, LED88, LED89, LED9, LED90, LED91, LED92, LED93, LED94, LED95, LED96, LED97, LED98, LED99",LED_SK6812MINI,104,SK6812MINI,C5149201
"DISPLAYLEDCAP1, DISPLAYLEDCAP2, DISPLAYLEDCAP3, LEDCAP1, LEDCAP10, LEDCAP100, LEDCAP101, LEDCAP11, LEDCAP12, LEDCAP13, LEDCAP14, LEDCAP15, LEDCAP16, LEDCAP17, LEDCAP18, LEDCAP19, LEDCAP2, LEDCAP20, LEDCAP21, LEDCAP22, LEDCAP23, LEDCAP24, LEDCAP25, LEDCAP26, LEDCAP27, LEDCAP28, LEDCAP29, LEDCAP3, LEDCAP30, LEDCAP31, LEDCAP32, LEDCAP33, LEDCAP34, LEDCAP35, LEDCAP36, LEDCAP37, LEDCAP38, LEDCAP39, LEDCAP4, LEDCAP40, LEDCAP41, LEDCAP42, LEDCAP43, LEDCAP44, LEDCAP45, LEDCAP46, LEDCAP47, LEDCAP48, LEDCAP49, LEDCAP5, LEDCAP50, LEDCAP51, LEDCAP52, LEDCAP53, LEDCAP54, LEDCAP55, LEDCAP56, LEDCAP57, LEDCAP58, LEDCAP59, LEDCAP6, LEDCAP60, LEDCAP61, LEDCAP62, LEDCAP63, LEDCAP64, LEDCAP65, LEDCAP66, LEDCAP67, LEDCAP68, LEDCAP69, LEDCAP7, LEDCAP70, LEDCAP71, LEDCAP72, LEDCAP73, LEDCAP74, LEDCAP75, LEDCAP76, LEDCAP77, LEDCAP78, LEDCAP79, LEDCAP8, LEDCAP80, LEDCAP81, LEDCAP82, LEDCAP83, LEDCAP84, LEDCAP85, LEDCAP86, LEDCAP87, LEDCAP88, LEDCAP89, LEDCAP9, LEDCAP90, LEDCAP91, LEDCAP92, LEDCAP93, LEDCAP94, LEDCAP95, LEDCAP96, LEDCAP97, LEDCAP98, LEDCAP99",Capacitor_0402,104,100nF,
F1,Fuse_0603,1,500mA,C210357
J1,USB_C_HRO_TYPE-C-31-M-12,1,USB_C,C165948
"LEDBULKCAP1, LEDBULKCAP2, LEDBULKCAP3, LEDBULKCAP4, LEDBULKCAP5, LEDBULKCAP6",Capacitor_0402,6,100uF,
R1,Resistor_0402,1,10k,C25744
"R2, R3",Resistor_0402,2,5.1k,
"R4, R5",Resistor_0402,2,500R,
"S1, S10, S100, S101, S11, S12, S13, S14, S15, S16, S17, S18, S19, S2, S20, S21, S22, S23, S24, S25, S26, S27, S28, S29, S3, S30, S31, S32, S33, S34, S35, S36, S37, S38, S39, S4, S40, S41, S42, S43, S44, S45, S46, S47, S48, S49, S5, S50, S51, S52, S53, S54, S55, S56, S57, S58, S59, S6, S60, S61, S62, S63, S64, S65, S66, S67, S68, S69, S7, S70, S71, S72, S73, S74, S75, S76, S77, S78, S79, S8, S80, S81, S82, S83, S84, S85, S86, S87, S88, S89, S9, S90, S91, S92, S93, S94, S95, S96, S97, S98, S99",Hotswap_MX_1.00u,101,Keyswitch,
SW1,Button_TL3342,1,SW_Push,C115351
SW2,RotaryEncoder_Alps_EC11E_Vertical_H20mm,1,RotaryEncoder,
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F072CBTx,
U2,DIP-14_W7.62mm,1,74AHCT125,
U3,Voltage_SOT-23,1,XC6206,C5446
U4,ESD_SOT-23-6,1,USBLC6-2SC6,C2827654
