Designator,Mid X,Mid Y,Rotation,Layer
C10,389.669889,-138.682531,0.0,bottom
C11,380.819892,-147.555031,90.0,bottom
C12,379.837392,-147.555038,90.0,bottom
C13,386.297388,-135.31003,270.0,bottom
C14,391.639891,-142.43253,0.0,bottom
C15,391.639892,-143.41503,0.0,bottom
C16,378.824889,-137.760023,0.0,bottom
C17,378.824891,-136.77753,0.0,bottom
C7,389.689892,-141.325058,180.0,bottom
C8,365.33828,-139.678984,180.0,bottom
C9,362.409892,-142.955058,90.0,bottom
D1,73.529446,-139.285058,180.0,bottom
D10,283.079446,-139.285058,180.0,bottom
D100,435.479446,-244.060058,180.0,bottom
D101,464.054446,-244.060058,180.0,bottom
D11,302.129446,-139.285058,180.0,bottom
D12,321.179446,-139.285058,180.0,bottom
D13,340.229446,-139.285058,180.0,bottom
D14,73.529446,-167.860058,180.0,bottom
D15,92.579446,-167.860058,180.0,bottom
D16,111.629446,-167.860058,180.0,bottom
D17,130.679446,-167.860058,180.0,bottom
D18,149.729446,-167.860058,180.0,bottom
D19,168.779446,-167.860058,180.0,bottom
D2,111.629446,-139.285058,180.0,bottom
D20,187.829446,-167.860058,180.0,bottom
D21,206.879446,-167.860058,180.0,bottom
D22,225.929446,-167.860058,180.0,bottom
D23,244.979446,-167.860058,180.0,bottom
D24,264.029446,-167.860058,180.0,bottom
D25,283.079446,-167.860058,180.0,bottom
D26,302.129446,-167.860058,180.0,bottom
D27,330.704446,-167.860058,180.0,bottom
D28,364.041946,-167.860058,180.0,bottom
D29,383.091946,-167.860058,180.0,bottom
D3,130.679446,-139.285058,180.0,bottom
D30,402.141946,-167.860058,180.0,bottom
D31,425.954446,-167.860058,180.0,bottom
D32,445.004446,-167.860058,180.0,bottom
D33,464.054446,-167.860058,180.0,bottom
D34,483.104446,-167.860058,180.0,bottom
D35,78.291946,-186.910058,180.0,bottom
D36,102.104446,-186.910058,180.0,bottom
D37,121.154446,-186.910058,180.0,bottom
D38,140.204446,-186.910058,180.0,bottom
D39,159.254446,-186.910058,180.0,bottom
D4,149.729446,-139.285058,180.0,bottom
D40,178.304446,-186.910058,180.0,bottom
D41,197.354446,-186.910058,180.0,bottom
D42,216.404446,-186.910058,180.0,bottom
D43,235.454446,-186.910058,180.0,bottom
D44,254.504446,-186.910058,180.0,bottom
D45,273.554446,-186.910058,180.0,bottom
D46,292.604446,-186.910058,180.0,bottom
D47,311.654446,-186.910058,180.0,bottom
D48,335.466946,-186.910058,180.0,bottom
D49,364.041946,-186.910058,180.0,bottom
D5,168.779446,-139.285058,180.0,bottom
D50,383.091946,-186.910058,180.0,bottom
D51,402.141946,-186.910058,180.0,bottom
D52,425.954446,-186.910058,180.0,bottom
D53,445.004446,-186.910058,180.0,bottom
D54,464.054446,-186.910058,180.0,bottom
D55,483.104446,-196.435058,180.0,bottom
D56,80.673196,-205.960058,180.0,bottom
D57,106.866946,-205.960058,180.0,bottom
D58,125.916946,-205.960058,180.0,bottom
D59,144.966946,-205.960058,180.0,bottom
D6,197.354446,-139.285058,180.0,bottom
D60,164.016946,-205.960058,180.0,bottom
D61,183.066946,-205.960058,180.0,bottom
D62,202.116946,-205.960058,180.0,bottom
D63,221.166946,-205.960058,180.0,bottom
D64,240.216946,-205.960058,180.0,bottom
D65,259.266946,-205.960058,180.0,bottom
D66,278.316946,-205.960058,180.0,bottom
D67,297.366946,-205.960058,180.0,bottom
D68,328.323196,-205.960058,180.0,bottom
D69,425.954446,-205.960058,180.0,bottom
D7,216.404446,-139.285058,180.0,bottom
D70,445.004446,-205.960058,180.0,bottom
D71,464.054446,-205.960058,180.0,bottom
D72,85.435696,-225.010058,180.0,bottom
D73,116.391946,-225.010058,180.0,bottom
D74,135.441946,-225.010058,180.0,bottom
D75,154.491946,-225.010058,180.0,bottom
D76,173.541946,-225.010058,180.0,bottom
D77,192.591946,-225.010058,180.0,bottom
D78,211.641946,-225.010058,180.0,bottom
D79,230.691946,-225.010058,180.0,bottom
D8,235.454446,-139.285058,180.0,bottom
D80,249.741946,-225.010058,180.0,bottom
D81,268.791946,-225.010058,180.0,bottom
D82,287.841946,-225.010058,180.0,bottom
D83,323.560696,-225.010058,180.0,bottom
D84,383.091946,-225.010058,180.0,bottom
D85,425.954446,-225.010058,180.0,bottom
D86,445.004446,-225.010058,180.0,bottom
D87,464.054446,-225.010058,180.0,bottom
D88,483.104446,-234.535058,180.0,bottom
D89,75.910696,-244.060058,180.0,bottom
D9,254.504446,-139.285058,180.0,bottom
D90,99.723196,-244.060058,180.0,bottom
D91,123.535696,-244.060058,180.0,bottom
D92,194.973196,-244.060058,180.0,bottom
D93,266.410696,-244.060058,180.0,bottom
D94,290.223196,-244.060058,180.0,bottom
D95,314.035696,-244.060058,180.0,bottom
D96,337.848196,-244.060058,180.0,bottom
D97,364.041946,-244.060058,180.0,bottom
D98,383.091946,-244.060058,180.0,bottom
D99,402.141946,-244.060058,180.0,bottom
DISPLAYLED1,402.519892,-147.590029,180.0,bottom
DISPLAYLED2,423.939892,-147.590029,180.0,bottom
DISPLAYLED3,445.359892,-147.590029,180.0,bottom
DISPLAYLEDCAP1,426.609892,-152.305058,270.0,bottom
DISPLAYLEDCAP2,405.259892,-152.325058,270.0,bottom
DISPLAYLEDCAP3,447.959892,-152.245058,270.0,bottom
F1,365.647278,-138.426484,0.0,bottom
J1,361.923529,-123.011487,180.0,bottom
LED1,70.9445,-152.745058,180.0,bottom
LED10,280.4945,-152.745058,180.0,bottom
LED100,432.8945,-257.520058,180.0,bottom
LED101,461.4695,-257.520058,180.0,bottom
LED11,299.5445,-152.745058,180.0,bottom
LED12,318.5945,-152.745058,180.0,bottom
LED13,337.6445,-152.745058,180.0,bottom
LED14,70.9445,-181.320058,180.0,bottom
LED15,89.9945,-181.320058,180.0,bottom
LED16,109.0445,-181.320058,180.0,bottom
LED17,128.0945,-181.320058,180.0,bottom
LED18,147.1445,-181.320058,180.0,bottom
LED19,166.1945,-181.320058,180.0,bottom
LED2,109.0445,-152.745058,180.0,bottom
LED20,185.2445,-181.320058,180.0,bottom
LED21,204.2945,-181.320058,180.0,bottom
LED22,223.3445,-181.320058,180.0,bottom
LED23,242.3945,-181.320058,180.0,bottom
LED24,261.4445,-181.320058,180.0,bottom
LED25,280.4945,-181.320058,180.0,bottom
LED26,299.5445,-181.320058,180.0,bottom
LED27,328.1195,-181.320058,180.0,bottom
LED28,361.457,-181.320058,180.0,bottom
LED29,380.507,-181.320058,180.0,bottom
LED3,128.0945,-152.745058,180.0,bottom
LED30,399.557,-181.320058,180.0,bottom
LED31,423.3695,-181.320058,180.0,bottom
LED32,442.4195,-181.320058,180.0,bottom
LED33,461.4695,-181.320058,180.0,bottom
LED34,480.5195,-181.320058,180.0,bottom
LED35,75.707,-200.370058,180.0,bottom
LED36,99.5195,-200.370058,180.0,bottom
LED37,118.5695,-200.370058,180.0,bottom
LED38,137.6195,-200.370058,180.0,bottom
LED39,156.6695,-200.370058,180.0,bottom
LED4,147.1445,-152.745058,180.0,bottom
LED40,175.7195,-200.370058,180.0,bottom
LED41,194.7695,-200.370058,180.0,bottom
LED42,213.8195,-200.370058,180.0,bottom
LED43,232.8695,-200.370058,180.0,bottom
LED44,251.9195,-200.370058,180.0,bottom
LED45,270.9695,-200.370058,180.0,bottom
LED46,290.0195,-200.370058,180.0,bottom
LED47,309.0695,-200.370058,180.0,bottom
LED48,332.882,-200.370058,180.0,bottom
LED49,361.457,-200.370058,180.0,bottom
LED5,166.1945,-152.745058,180.0,bottom
LED50,380.507,-200.370058,180.0,bottom
LED51,399.557,-200.370058,180.0,bottom
LED52,423.3695,-200.370058,180.0,bottom
LED53,442.4195,-200.370058,180.0,bottom
LED54,461.4695,-200.370058,180.0,bottom
LED55,480.5195,-209.895058,180.0,bottom
LED56,78.08825,-219.420058,180.0,bottom
LED57,104.282,-219.420058,180.0,bottom
LED58,123.332,-219.420058,180.0,bottom
LED59,142.382,-219.420058,180.0,bottom
LED6,194.7695,-152.745058,180.0,bottom
LED60,161.432,-219.420058,180.0,bottom
LED61,180.482,-219.420058,180.0,bottom
LED62,199.532,-219.420058,180.0,bottom
LED63,218.582,-219.420058,180.0,bottom
LED64,237.632,-219.420058,180.0,bottom
LED65,256.682,-219.420058,180.0,bottom
LED66,275.732,-219.420058,180.0,bottom
LED67,294.782,-219.420058,180.0,bottom
LED68,325.73825,-219.420058,180.0,bottom
LED69,423.3695,-219.420058,180.0,bottom
LED7,213.8195,-152.745058,180.0,bottom
LED70,442.4195,-219.420058,180.0,bottom
LED71,461.4695,-219.420058,180.0,bottom
LED72,82.85075,-238.470058,180.0,bottom
LED73,113.807,-238.470058,180.0,bottom
LED74,132.857,-238.470058,180.0,bottom
LED75,151.907,-238.470058,180.0,bottom
LED76,170.957,-238.470058,180.0,bottom
LED77,190.007,-238.470058,180.0,bottom
LED78,209.057,-238.470058,180.0,bottom
LED79,228.107,-238.470058,180.0,bottom
LED8,232.8695,-152.745058,180.0,bottom
LED80,247.157,-238.470058,180.0,bottom
LED81,266.207,-238.470058,180.0,bottom
LED82,285.257,-238.470058,180.0,bottom
LED83,320.97575,-238.470058,180.0,bottom
LED84,380.507,-238.470058,180.0,bottom
LED85,423.3695,-238.470058,180.0,bottom
LED86,442.4195,-238.470058,180.0,bottom
LED87,461.4695,-238.470058,180.0,bottom
LED88,480.5195,-247.995058,180.0,bottom
LED89,73.32575,-257.520058,180.0,bottom
LED9,251.9195,-152.745058,180.0,bottom
LED90,97.13825,-257.520058,180.0,bottom
LED91,120.95075,-257.520058,180.0,bottom
LED92,192.38825,-257.520058,180.0,bottom
LED93,263.82575,-257.520058,180.0,bottom
LED94,287.63825,-257.520058,180.0,bottom
LED95,311.45075,-257.520058,180.0,bottom
LED96,335.26325,-257.520058,180.0,bottom
LED97,361.457,-257.520058,180.0,bottom
LED98,380.507,-257.520058,180.0,bottom
LED99,399.557,-257.520058,180.0,bottom
LEDBULKCAP1,67.209892,-156.055058,270.0,bottom
LEDBULKCAP2,67.409892,-184.630058,270.0,bottom
LEDBULKCAP3,71.759892,-203.680058,270.0,bottom
LEDBULKCAP4,74.459892,-222.730058,270.0,bottom
LEDBULKCAP5,76.759892,-241.780058,270.0,bottom
LEDBULKCAP6,69.309892,-260.830058,270.0,bottom
LEDCAP1,73.659892,-156.055058,270.0,bottom
LEDCAP10,283.209892,-156.055058,270.0,bottom
LEDCAP100,435.609892,-260.830058,270.0,bottom
LEDCAP101,464.184892,-260.830058,270.0,bottom
LEDCAP11,302.259892,-156.055058,270.0,bottom
LEDCAP12,321.309892,-156.055058,270.0,bottom
LEDCAP13,340.359892,-156.055058,270.0,bottom
LEDCAP14,73.659892,-184.630058,270.0,bottom
LEDCAP15,92.709892,-184.630058,270.0,bottom
LEDCAP16,111.759892,-184.630058,270.0,bottom
LEDCAP17,130.809892,-184.630058,270.0,bottom
LEDCAP18,149.859892,-184.630058,270.0,bottom
LEDCAP19,168.909892,-184.630058,270.0,bottom
LEDCAP2,111.759892,-156.055058,270.0,bottom
LEDCAP20,187.959892,-184.630058,270.0,bottom
LEDCAP21,207.009892,-184.630058,270.0,bottom
LEDCAP22,226.059892,-184.630058,270.0,bottom
LEDCAP23,245.109892,-184.630058,270.0,bottom
LEDCAP24,264.159892,-184.630058,270.0,bottom
LEDCAP25,283.209892,-184.630058,270.0,bottom
LEDCAP26,302.259892,-184.630058,270.0,bottom
LEDCAP27,330.834892,-184.630058,270.0,bottom
LEDCAP28,364.172392,-184.630058,270.0,bottom
LEDCAP29,383.222392,-184.630058,270.0,bottom
LEDCAP3,130.809892,-156.055058,270.0,bottom
LEDCAP30,402.272392,-184.630058,270.0,bottom
LEDCAP31,426.084892,-184.630058,270.0,bottom
LEDCAP32,445.134892,-184.630058,270.0,bottom
LEDCAP33,464.184892,-184.630058,270.0,bottom
LEDCAP34,483.234892,-184.630058,270.0,bottom
LEDCAP35,78.422392,-203.680058,270.0,bottom
LEDCAP36,102.234892,-203.680058,270.0,bottom
LEDCAP37,121.284892,-203.680058,270.0,bottom
LEDCAP38,140.334892,-203.680058,270.0,bottom
LEDCAP39,159.384892,-203.680058,270.0,bottom
LEDCAP4,149.859892,-155.975058,270.0,bottom
LEDCAP40,178.434892,-203.680058,270.0,bottom
LEDCAP41,197.484892,-203.680058,270.0,bottom
LEDCAP42,216.534892,-203.680058,270.0,bottom
LEDCAP43,235.584892,-203.680058,270.0,bottom
LEDCAP44,254.634892,-203.680058,270.0,bottom
LEDCAP45,273.684892,-203.680058,270.0,bottom
LEDCAP46,292.734892,-203.680058,270.0,bottom
LEDCAP47,311.784892,-203.680058,270.0,bottom
LEDCAP48,335.597392,-203.680058,270.0,bottom
LEDCAP49,364.172392,-203.680058,270.0,bottom
LEDCAP5,168.909892,-156.055058,270.0,bottom
LEDCAP50,383.222392,-203.680058,270.0,bottom
LEDCAP51,402.272392,-203.680058,270.0,bottom
LEDCAP52,426.084892,-203.680058,270.0,bottom
LEDCAP53,445.134892,-203.680058,270.0,bottom
LEDCAP54,464.184892,-203.680058,270.0,bottom
LEDCAP55,483.234892,-213.205058,270.0,bottom
LEDCAP56,80.803642,-222.730058,270.0,bottom
LEDCAP57,106.997392,-222.730058,270.0,bottom
LEDCAP58,126.047392,-222.730058,270.0,bottom
LEDCAP59,145.097392,-222.730058,270.0,bottom
LEDCAP6,197.484892,-156.055058,270.0,bottom
LEDCAP60,164.147392,-222.730058,270.0,bottom
LEDCAP61,183.197392,-222.730058,270.0,bottom
LEDCAP62,202.247392,-222.730058,270.0,bottom
LEDCAP63,221.297392,-222.730058,270.0,bottom
LEDCAP64,240.347392,-222.730058,270.0,bottom
LEDCAP65,259.397392,-222.730058,270.0,bottom
LEDCAP66,278.447392,-222.730058,270.0,bottom
LEDCAP67,297.497392,-222.730058,270.0,bottom
LEDCAP68,328.453642,-222.730058,270.0,bottom
LEDCAP69,426.084892,-222.730058,270.0,bottom
LEDCAP7,216.534892,-156.055058,270.0,bottom
LEDCAP70,445.134892,-222.730058,270.0,bottom
LEDCAP71,464.184892,-222.730058,270.0,bottom
LEDCAP72,85.566142,-241.780058,270.0,bottom
LEDCAP73,116.522392,-241.780058,270.0,bottom
LEDCAP74,135.572392,-241.780058,270.0,bottom
LEDCAP75,154.622392,-241.780058,270.0,bottom
LEDCAP76,173.672392,-241.780058,270.0,bottom
LEDCAP77,192.722392,-241.780058,270.0,bottom
LEDCAP78,211.772392,-241.780058,270.0,bottom
LEDCAP79,230.822392,-241.780058,270.0,bottom
LEDCAP8,235.584892,-156.055058,270.0,bottom
LEDCAP80,249.872392,-241.780058,270.0,bottom
LEDCAP81,268.922392,-241.780058,270.0,bottom
LEDCAP82,287.972392,-241.780058,270.0,bottom
LEDCAP83,323.691142,-241.780058,270.0,bottom
LEDCAP84,383.222392,-241.780058,270.0,bottom
LEDCAP85,426.084892,-241.780058,270.0,bottom
LEDCAP86,445.134892,-241.780058,270.0,bottom
LEDCAP87,464.184892,-241.780058,270.0,bottom
LEDCAP88,483.234892,-251.305058,270.0,bottom
LEDCAP89,76.041142,-260.830058,270.0,bottom
LEDCAP9,254.634892,-156.055058,270.0,bottom
LEDCAP90,99.853642,-260.830058,270.0,bottom
LEDCAP91,123.666142,-260.830058,270.0,bottom
LEDCAP92,195.103642,-260.830058,270.0,bottom
LEDCAP93,266.541142,-260.830058,270.0,bottom
LEDCAP94,290.353642,-260.830058,270.0,bottom
LEDCAP95,314.166142,-260.830058,270.0,bottom
LEDCAP96,337.978642,-260.830058,270.0,bottom
LEDCAP97,364.172392,-260.830058,270.0,bottom
LEDCAP98,383.222392,-260.830058,270.0,bottom
LEDCAP99,402.272392,-260.830058,270.0,bottom
R1,350.628533,-140.836482,90.0,bottom
R2,360.068529,-129.536487,0.0,bottom
R3,363.673529,-129.856487,270.0,bottom
R4,66.259892,-153.475058,180.0,bottom
R5,466.519892,-256.765058,180.0,bottom
S1,71.497446,-147.590029,0.0,top
S10,281.047446,-147.590029,0.0,top
S100,433.447446,-252.365029,0.0,top
S101,462.022446,-252.365029,0.0,top
S11,300.097446,-147.590029,0.0,top
S12,319.147446,-147.590029,0.0,top
S13,338.197446,-147.590029,0.0,top
S14,71.497446,-176.165029,0.0,top
S15,90.547446,-176.165029,0.0,top
S16,109.597446,-176.165029,0.0,top
S17,128.647446,-176.165029,0.0,top
S18,147.697446,-176.165029,0.0,top
S19,166.747446,-176.165029,0.0,top
S2,109.597446,-147.590029,0.0,top
S20,185.797446,-176.165029,0.0,top
S21,204.847446,-176.165029,0.0,top
S22,223.897446,-176.165029,0.0,top
S23,242.947446,-176.165029,0.0,top
S24,261.997446,-176.165029,0.0,top
